start-date	end-date	variant	location	tournament	source
2025-04-05	2025-04-06	Shogi	SC Eintracht Berlin e.V., Berlin, Germany	32nd German Open Championship	<a href='https://fesashogi.eu/calendar/'>fesashogi.eu</a>
2025-04-12	2025-04-13	Xiangqi	Schwarzenbek, Deutschland	Xiangqi - Schwarzenbek-Trophäe	<a href='http://chinaschach.de/blog/event/xiangqi-schwarzenbek-trophaee/'>chinaschach.de</a>
2025-04-13	2025-04-20	Xiangqi	Calvia, Calvià, Mallorca, Spanien	Mind Sports Olympiad 2025	<a href='http://chinaschach.de/blog/event/mind-sports-olympiad-2025/'>chinaschach.de</a>
2025-04-14	2025-04-14	Xiangqi	-	Xiangqitreffen online	<a href='http://chinaschach.de/blog/event/xiangqitreffen-online-12/'>chinaschach.de</a>
2025-04-19	2025-04-20	Shogi	nantes, France	Championnat de France et Open de France de Shogi 2025	<a href='https://shogi.fr/event/championnat-de-france-et-open-de-france-de-shogi-2025/'>shogi.fr</a>
2025-04-26	2025-04-26	Xiangqi	Rothenburg ob der Tauber, Gästehaus am Heckenacker, Deutschland	Xiangqi in Rothenburg ob der Tauber	<a href='http://chinaschach.de/blog/event/xiangqi-in-rothenburg-ob-der-tauber/'>chinaschach.de</a>
2025-05-10	2025-05-10	Shogi	53, Barcelona, C/ del Rector Triadó	Dojo 10/5	<a href='https://shogi.es/actividad/dojo-10-5/'>shogi.es</a>
2025-05-12	2025-05-12	Xiangqi	-	Xiangqitreffen online	<a href='http://chinaschach.de/blog/event/xiangqitreffen-online-13/'>chinaschach.de</a>
2025-05-17	2025-05-18	Xiangqi	Oostrum bei Limburg, Oostrum, Niederlande	Xiangqi in den Niederlanden	<a href='http://chinaschach.de/blog/event/xiangqi-in-den-niederlanden/'>chinaschach.de</a>
2025-05-31	2025-06-01	Shogi	Maison des jeux, 38 route de Schirmeck, Strasbourg, France	Open Shogi Strasbourg (O.S.S.) 2025	<a href='https://shogi.fr/event/open-shogi-strasbourg-o-s-s-2025/'>shogi.fr</a>
2025-05-31	2025-06-01	Xiangqi	Ankerstr., Steinwiesen, Deutschland	"Traditionsturnier Steinwiesen ""Zum Goldenen Anker"" + Deutsche Meisterschaft"	<a href='http://chinaschach.de/blog/event/traditionsturnier-steinwiesen-zum-goldenen-anker/'>chinaschach.de</a>
2025-06-07	2025-06-07	Shogi	53, Barcelona, C/ del Rector Triadó	Dojo 7/6	<a href='https://shogi.es/actividad/dojo-7-6/'>shogi.es</a>
2025-06-09	2025-06-09	Xiangqi	-	Xiangqitreffen online	<a href='http://chinaschach.de/blog/event/xiangqitreffen-online-14/'>chinaschach.de</a>
2025-07-05	2025-07-05	Shogi	53, Barcelona, C/ del Rector Triadó	Dojo 5/7	<a href='https://shogi.es/actividad/dojo-5-7/'>shogi.es</a>
2025-07-05	2025-07-06	Xiangqi	Schacharena (Shakkiareena), Helsinki, Finnland	Helsinki - Finnische Meisterschaft	<a href='http://chinaschach.de/blog/event/helsinki-finnische-meisterschaft/'>chinaschach.de</a>
2025-07-14	2025-07-14	Xiangqi	-	Xiangqitreffen online	<a href='http://chinaschach.de/blog/event/xiangqitreffen-online-15/'>chinaschach.de</a>
